subject,predicate,object
新光家谱,记载,五百多年历史
工匠们,使用工具,简单工具
工匠们,使用材料,本地竹木
工匠们,使用材料,响铜
新光村,被称为,芦笙村
新光村,是,国内唯一制作特大芦笙的地方
贵州省文化厅,命名为,芦笙制作艺术之乡
凯里新光芦笙,类型,六管芦笙
凯里新光芦笙,沿用音阶,中国传统五声音阶
响铜簧片,发音方式,气鸣发音
音准高低,确定依据,工匠辨音能力
每组芦笙合奏,符合原理,和声学原理
制作技艺,传承方式,父传子
学习者,积累经验方式,实践中靠悟性和感觉
芦笙,属性,精美工艺品
大理白族自治州大理市周城村,保留传统技艺,扎染
巍山彝族回族自治县的大仓、庙街等地,保留传统技艺,扎染
周城白族,被命名,民族扎染之乡
东汉时期,大理地区有,染织之法
唐贞元十六年,南诏舞队所着舞衣裙襦使用工艺,扎染
明朝,名噪一时的畅销产品,洱海卫红布
清代,名噪一时的畅销产品,喜洲布
清代,名噪一时的畅销产品,大理布
近代以来,周城成为,手工织染村
扎染,原料,棉白布或棉麻混纺白布
扎染,染料,植物蓝靛/板兰根
扎染主要步骤,包括,画刷图案
扎染主要步骤,包括,浸泡
扎染主要步骤,包括,染布
扎染主要步骤,包括,蒸煮
扎染主要步骤,包括,晒干
扎染主要步骤,包括,拆线
扎染主要步骤,包括,碾布
扎染技术关键,是,绞扎手法和染色技艺
扎染主要工具,包括,染缸
扎染主要工具,包括,染棒
扎染主要工具,包括,石碾
白族扎染品种,特征,多样
白族扎染图案,多为,自然形的小纹样
白族扎染图案分布,特点,均匀
白族扎染题材,寓意,吉祥
白族扎染,具有,美学价值
大理白族扎染,显示风格,浓郁的民间艺术风格
一千多种纹样,是,白族历史文化的缩影
大理白族扎染,折射出,民情风俗与审美情趣
大理白族织染文化,构成要素,各种工艺手段
产业化趋势,导致结果,部分传统扎染技艺走向消亡
产业化趋势,导致结果,原有的民间特色开始退化
当前问题,包括,污染问题日益突出
当前问题,包括,植物染料板兰根供不应求
白族扎染技艺传承,受到困扰因素,上述问题
傣族制陶技艺,民族学特征,慢轮手工制作
傣族制陶技艺,历史学特征,长达四千余年的制陶史
傣族制陶技艺,符号学特征,器物表面用有纹的木拍拍打出印纹
傣族制陶技艺,美学特征,与南方新石器遗址出土的印纹陶器相一致
傣族制陶技艺,用料讲究,泥土加砂石料改善成型性能
傣族制陶技艺,焙烧方式特点,包括露天焙烧和封闭半焙烧等多种方法
傣族制陶技艺,成坯方法多样化,无转轮制坯、脚趾拨动慢轮、手拨动转轮等方式
傣族制陶技艺,用途分类,生活用具、建材、赕佛用具等种类
傣族制陶技艺,历史文献记载,《百夷传》称“惟陶冶之器是用”
傣族制陶技艺,学术评价,被国内外考古学家认为是中国原始陶艺的代表及解开新石器时代烧陶之谜的钥匙
傣族制陶技艺,现状危机,原始制陶术处于即将消亡的状态亟待拯救和保护
傣族制陶技艺,经济效益问题,制作效益不理想导致从业者减少
傣族制陶技艺,传承范围缩小,仅少数村寨几户人家仍会制作陶器
傣族制陶技艺,文化象征意义,“板磨”在傣语中俗称土锅
白族民居彩绘,民族学特征,大理白族文化
白族民居彩绘,符号学特征,香草纹、如意云纹、回纹
白族民居彩绘,美学特征,风格朴素而不失庄重
白族民居彩绘,美学特征,雕画结合
白族民居彩绘,美学特征,泥作斗拱与浮雕
白族民居彩绘,美学特征,黑、白、灰主色调突出素白主体色
白族民居彩绘,民族学特征,白族与汉族文化交流印证
彝族撒尼刺绣,流行地区,云南省石林彝族自治县
彝族撒尼刺绣,起源时期,唐宋时期
彝族撒尼刺绣,使用群体,撒尼妇女
彝族撒尼刺绣,传承方式,世代传承
彝族撒尼刺绣,应用领域,日常生活用品
彝族撒尼刺绣,工艺手法,斜十字针
彝族撒尼刺绣,具体技法,单挑/双面挑/素色挑/彩色挑
彝族撒尼刺绣,制品类型,背包/桌布/窗帘/花包头/花围腰/服饰花边
彝族撒尼刺绣,工艺特点,针脚细密
彝族撒尼刺绣,工艺特点,组织匀称
彝族撒尼刺绣,色彩特征,色彩明丽
彝族撒尼刺绣,文化象征,民族风格
彝族撒尼刺绣,文化象征,地方特色
彝族撒尼刺绣,符号功能,图案构思巧妙
彝族撒尼刺绣,艺术价值,聪明才智体现
彝族撒尼刺绣,艺术价值,艺术创造力展现
剑川木雕,历史发展,宋代
剑川木雕,文献记载,《滇南新语》
剑川木雕,作者群体,剑民
剑川木雕,现代应用,首都人民大会堂
剑川木雕,现代应用,民族文化宫
剑川木雕,产品门类,嵌石木雕家具
剑川木雕,产品门类,工艺挂屏和座屏系列
剑川木雕,产品门类,格子门系列
剑川木雕,产品门类,古建筑及室内装饰装修
剑川木雕,产品门类,旅游工艺品小件
剑川木雕,产品门类,现代家具
剑川木雕,艺术风格融合,粗犷豪放
剑川木雕,艺术风格融合,细腻精巧
剑川木雕,文化价值,艺术价值
剑川木雕,文化价值,观赏价值
剑川木雕,文化价值,珍藏价值
剑川木雕,文化价值,实用价值
剑川木雕,民俗活动,八月初八木匠祖师鲁班会
剑川木雕,民间文学载体,木匠故事
剑川木雕,民间文学载体,木匠歌谣
剑川木雕,民间文学载体,叙事长诗
剑川木雕,民族归属,白族
剑川木雕,工艺特征,社会学特征
剑川木雕,工艺特征,民族学特征
剑川木雕,工艺特征,符号学特征
剑川木雕,工艺特征,美学特征
傣族剪纸,社会学特征,赕佛活动
傣族剪纸,社会学特征,丧葬习俗
傣族剪纸,社会学特征,喜庆装饰
傣族剪纸,社会学特征,居家装饰
傣族剪纸,民族学特征,南部上座部佛教信仰
傣族剪纸,民族学特征,边疆风物特产表现
