项目编号,主体,关系,客体
4,闰年,高台数量为,十三 台
4,制作 高台手艺的难点,在于,不露筋骨
4,筋骨,指代,支撑整个舞台的铁杆
4,高台,是,流动舞台
4,一台高台,表现内容为,一出 戏
4,装扮 角色的孩子年龄范围,为,四至五岁
4,高台巡游伴随 表演,包括,吹打乐 、毛驴灯、龙灯等 民俗表演
4,从通海高台,具有 意义,继承中华民族优良传统增强 社区凝聚力
4,从通海高台,研究 价值涉及领域,民俗学、 艺术学、历史学
5,浇花节,所属民族,德昂族
5,浇 花节,流传地区,云南省德宏傣族景颇 族自治州
5,浇花 节,开始时间,清明节 后第七天
5,浇花节,持续时间,三天
5,德昂 族群众,穿着,节日 盛装
5,德 昂族群众,携带物品,清水
5,德 昂族群众,携带物品,食物
5,德 昂族群众,携带物品,鲜花
5,德 昂族群众,汇集地点,本寨的奘房
5,节日仪式,主持人,寨内的长老
5,男青年,敲击乐器,象脚鼓
5,女青年,舞蹈类型,堆沙舞
5,其他群众,背负物品,精致的小花 篮
5,其他 群众,手捧物品,竹水筒
5,其他群众,动作,往水龙槽里倒水
5,其他群众,目的,为佛像冲浴
5,其他群众,祈愿内容,来 年风调雨顺
5,人们,摆放位置,佛像前的供盘
5,人们,行为,齐声朗诵祭词
5,人们,行为,品尝各种食物
5,人们,排列 方式,排成长队
5,队伍,前 导,象脚鼓队
5,队伍,前往地点,井旁或泉 边
5,队伍,目的,取水
5,取水,举行仪式,取水供 物仪式
5,男女青年,活动内容,传烟
5,男女青年,活动内容,对歌
5,男女青年,活动内容,赛舞
5,浇花节,涉及领域,宗教礼仪
5,浇花节,涉及领域,民间歌舞
5,浇花节,涉及 领域,民间工艺
5,浇花节,涉及领域,婚姻习俗
5,浇花节,涉及领域,传统饮食
6,昌宁苗 族服饰,流传地区,云南省 保山市昌宁县 街乡
6,昌宁苗族服饰,主要 原料,火麻土布
6,火麻土布,制作工艺,手摇 机纺线+土布机织 造
6,苗族 妇女,创作方式,在 衣裙上缝制图案
6,完整盛装,组成部件,包头/上衣 /披肩/围腰/腰带 /短褶裙等十八件套
6,完整盛装,别称,十八一朵 花
6,昌宁 苗族服饰,色彩特点,红/黄/橙/白 为主色调
6,昌 宁苗族服饰,工艺特色,刺绣取胜
6,昌宁苗族服饰,关联民歌,《种麻纺织 调》
6,昌宁苗族服饰,关联 民歌,《纺织调》
6,昌宁苗 族服饰,关联民歌,《刺绣调》
6,昌宁苗族服饰,文化属性,口述文学 瑰宝
6,昌宁苗族服饰,历史 功能,追溯苗族历史发展 进程
6,昌 宁苗族服饰,文化功能,反映文化沉积
6,昌宁苗族服饰,认知体现,对世界 的认识
6,昌 宁苗族服饰,价值观念 载体,苗族价值观
6,昌宁苗族 服饰,审美意识载体,苗族审美意识
7,绕三灵,流传地区,云南省大理白 族自治州苍山洱海周边 地区
7,绕三灵,起源时间,一千多年
7,绕三灵,活动时间,每年农历四月二十三 日至二十五日
7,绕三灵,参与者,白族民众不分男女
7,绕三 灵队伍,前导组成,一男一女/两男 或两女手执柳树枝和 牛尾的老人称花柳树老人
7,绕 三灵队伍,中部组成,吹笛子的一人、手执 霸王鞭与金钱鼓的男女舞 者数十人
7,绕三灵队伍,队尾组成,吹树叶的 一人和数十位亦歌亦舞 手执扇子或草帽的 妇女
7,绕三灵队伍,队形 特征,一字长蛇阵
7,绕三 灵队伍,聚集地点,大理古城城隍庙
7,绕三灵 路线,第一站,崇 圣寺
7,绕三灵路线,第二站,朝阳村本主 庙
7,绕三灵路线,第三 站,庆洞村本主 庙
7,朝阳村本主庙祭拜 对象,抚民皇帝本主 ) 14. ( 庆洞村本主庙祭拜 对象,五百神王段宗 榜
7,四月二十四日祭拜对象,象征洱海之神的斩蟒 英雄段赤诚本主) 16. (四月二十五 日祭拜对象,马久 邑村本主保安景帝
7,绕 三灵活动内容,包括,打霸王鞭和金钱鼓
7,绕三 灵活动内容,包括,跳 扇子舞
7,绕三灵活动内容,包括,唱白族调 子
7,绕三灵文化意义,体现,白族在文化上的 包容吸纳能力
7,绕三灵文化意义,体现,高度的创新精神
7,绕三灵作用,强化,文化认同感
7,绕三灵作用,增强,白族凝聚力
7,绕三灵地位,成为,白族文化最有标志意义的象征 之一
8,刀杆节,傈僳 语名称,阿 堂得
8,刀杆节,别 名,爬刀节
8,刀杆节,流行地区,云南省怒江傈 僳族自治州泸水县
8,刀杆节,参与 民族,傈僳族
8,刀杆节,参与民族,彝族
8,刀杆节,节期,每年正月十五日
8,刀杆节,主要习俗表演活动,上刀山下火海
8,上刀山下火海,再现内容,山地民族翻 山越岭的生活经历
8,上刀山下火海,体现精神,攀藤负 葛的艰苦卓绝精神
8,上刀山下火 海,性质,民间传统 习俗活动
8,刀杆节,来历传说人物,王骥
8,王骥,官职,明代兵部尚书
8,王骥,任务,受朝廷派遣到云南边 陲部署军民联防
8,王骥,行动 目标,平息叛逆收复被侵占 的土地
8,王 骥,合作对象,当地 百姓
8,王 骥,结局,被皇帝 听信谗言毒死
8,傈僳人民,纪念方式,过刀杆 节
8,上 刀山下火海,包括步骤,点花
8,上刀山下火海,包括 步骤,点刀
8,上刀山下火海,包括步骤,耍刀
8,上刀山下 火海,包括步骤,迎 花
8,上 刀山下火海,包括步骤,设坛
8,上刀山下火海,包括 步骤,祭刀杆
8,上刀山下火 海,包括步骤,竖杆
8,上刀 山下火海,包括步骤,祭龙
8,上刀山下火海,包括步骤,上刀
8,上刀山下火海,包括步骤,折刀
8,上刀山下火 海,包括步骤,下火 海
8,上 刀山,道具材料,利刀捆扎于四五丈高的 栗树杆上
8,上刀山,刀具 间距,每把刀相距尺 许
8,上 刀山,刀刃方向,全部朝上
8,上刀山,表演方式,赤脚踏着锋利的钢 刀逐级爬至刀杆顶端
8,上刀 山,表演内容,开 天门
8,上刀山,表演内容,挂红
8,上刀山,表演内容,撒谷
8,下火海,前置 动作,下刀杆后
8,下火海,表演环境,通红炽 热的炭火中
8,现在节日,取代 原始信仰的内容,展现健康新颖 的唱词
8,现在节日,取代原始信仰 的内容,丰富的手上舞蹈动作的 跳嘎
8,现在节日,特点,具有 更广泛的群众性
8,刀杆节,文化 根源,自然崇拜的产物
8,刀杆节,精神体现,爱国主义精神
8,刀杆节,精神体现,不畏艰 险的民族精神
9,怒族仙女 节,别 称,鲜花节
9,怒 族仙女节,流传地区,云南省怒江傈僳族自治州 贡山独龙族怒族自治县丙 中洛乡
9,怒族仙女节,举行时间,每年农历三月十五日
9,怒族仙女节,持续时间,三天
9,怒族仙女节,活动类别,祭祀仙女洞 并迎接圣水
9,怒族仙女节,活动 类别,歌舞求福
9,怒族仙女节,活动类别,体育竞技
9,怒族仙女节,起源说法一,原始 崇拜
9,怒族 仙女节,起源说法二,怒族早期母系氏族尊崇 女性的遗俗
9,怒族,信奉对象,仙女
9,怒族,信奉目的,祈求安泰
9,仙女节习俗,形成原因,纪念传说中的仙女阿茸姑娘
9,主祭 人,行为,念祝 辞
9,大家,行为,口头献贡
9,祭祀仙女 仪式,现状,渐渐淡化
9,歌舞求 福,现状,成为仙女 节的主要活动内容
9,体育竞技,现状,成为仙女节的主要活动内容
9,怒族仙女 节,社会基础体现,原始宗教意识
9,怒族仙女节,社会 基础体现,自然崇拜
9,怒族仙女节,社会基础体现,生殖 崇拜
9,怒 族仙女节,受文化影响,藏传佛教文化
9,怒族仙女节,价值,对怒族 传统文化传承有重要价值
9,怒族,人口 特点,较少
9,怒族,居住特点,跨国境线而居
9,怒族传统文化,曾受冲击情况,极易受到外界因素的冲击
9,仙女节传承,中断时间,一度中断
9,仙女节传承,恢复时间,十一届三 中全会以后
10,卡雀哇 节,流传 地区,云南省怒 江傈僳族自治州贡山 独龙族怒族自治县西部独 龙江流域
10,卡雀哇节,举行时间 范围,每年农历腊月即 公历的月至次年的月之间
10,卡雀哇 节,节期最短天数,天
10,卡 雀哇节,节期最长 天数,天
10,贡山独龙族怒族自治县 人大常委会,确定日期,每年的 公历月日定为独龙族 的卡雀哇节
10,卡雀哇节,节庆内容,木刻传 信
10,卡雀 哇节,节庆内容,跳锅庄
10,卡雀哇节,节 庆内容,射击猎物模型
10,卡雀哇节,节庆内容,火 塘烧松叶求吉祥
10,卡雀哇节,节庆内容,喝 木罗酒
10,卡雀哇节,节 庆内容,剽牛
10,各村寨的 卡雀哇节,节期 顺序,由上游经中游 而至下游依序进入
10,独龙江流域独 龙族山寨的卡雀哇庆典,持续时间,前后持续一个月
10,卡雀 哇节,研究价值,探索独龙族文化发展的轨迹
10,卡雀哇 节,研究价值,把握 独龙族历法的起源及变迁 历史
10,卡 雀哇节,保留方式,木刻传信的信息传播方式
10,木刻 传信的信息传播方式,研究 意义,研究没有文字族群的 社会组织机制的珍贵样本
10,卡雀哇节,文化功能,对传统文化加以 系统整合和传承的重要载体
10,卡雀哇节,彰显理念,敬畏自然 的理念
10,卡 雀哇节,彰显愿望,人生顺达的愿望
11,目瑙纵 歌,又称,总戈
11,目瑙纵歌,流传 于,云南省德宏傣族 景颇族自治州的景颇族聚 居区
11,目瑙纵歌,产生 年代可追溯到,原始社会 时期
11,目瑙纵歌的最主要活动,是,跳目瑙纵 歌舞
11,正式活动前,立起,四根木柱
11,四根木柱,用来祭祀,太阳
11,四根 木柱,用来指示,舞蹈路线
11,柱侧,置有,刀、矛
11,刀、矛,象征,人民强悍刚毅的性格
11,柱档两端,设,木雕犀鸟、孔雀各一只
11,柱前,立活竹高 竿,表示生命常青
11,上方 挂有横匾,画有,景颇传说中的起源地喜马拉雅 山
11,目瑙节,已成为,景颇人民欢庆丰收的 歌舞娱乐的民俗节日
11,目瑙节 中最具代表性的表现形式,是,目瑙纵歌
11,目瑙 纵歌,包括,苏目 瑙招财庆丰收
11,目瑙纵 歌,包括,巴当目 瑙庆祝胜利
11,目瑙纵歌,包括,定栓目瑙庆 贺新居落成
11,目瑙纵歌,包括,结如目瑙 出征誓师
11,与目瑙纵歌 配合的舞蹈动作,顿步 摆肩的韵律鲜明独特,是景颇族舞蹈的代表性 动作
11,举行目瑙纵歌时,参加人数,方圆百十里 有上万人
11,举行目瑙纵歌 时,大家同场共舞,气氛隆重热烈极富民族 感召力和凝聚力
11,目瑙纵 歌,是加强民族关系、 增强民族团结的重要渠道) 23. (德宏傣族 景颇族自治州人民代表大会常委会,"讨论 通过确立, 目瑙纵歌 为德宏州法定的民族节日"
11,目 瑙纵歌作为法定节日的时间,是每年的,正月十五、 十六日
11,景颇族,是一个 跨境而居的民族) 26. (缅甸北部,"居住有, 近百万景颇 族"
11,印度北部,居住有,近百万景颇族
11,国内外,都举行,目瑙纵 歌
11,陇川县,是国内,景颇族人口最多
11,陇川 县,是,目瑙 纵歌传承最为完整规范、最具 景颇族代表性的地区
11,目瑙纵 歌,集景颇族文化 为一体,涉及社会生产生活的各个方面
11,目瑙纵歌,集中地 展现出,景颇族的传统文化
12,彝族火 把节,举办地点,贵州省 赫章县
12,彝族火 把节,举行时间,每年农历六月二十四日
12,赫章县,人口最多的少数民族,彝族
12,彝 族,当地语言称火把 节为,朵扔吉
12,彝族 火把节,节日起源,与各地彝族相同
12,彝族火 把节,节期,与各地彝族相同
12,彝族火把 节,节日活动,与 各地彝族相同
12,彝族火把节,主要流行区域,彝 族聚居村寨
12,彝族火把 节,意义,增强本 民族凝聚力
12,彝族火把节,意义,增进民族团结
12,彝族 火把节,研究价值,民族学
12,彝族火把节,研究价值,民俗学
12,彝族火把节,研究 价值,天文学
13,德宏泼 水节,所属民族,傣 族
13,德宏泼水节,所属民族,德昂族
13,德宏泼水 节,所属民族,阿 昌族
13,德 宏泼水节,举办地点,云南省西部德宏傣族 景颇族自治州
13,德宏泼水节,节 期时间,清明节后第七至 第十天
13,德 宏泼水节,历史渊源,傣族稻作文明
13,德宏泼水 节,宗教融合,上 座部佛教
13,德宏泼水节,文化 构成,南传佛教宗教仪式
13,德宏泼 水节,文化构成,德宏傣族传统礼仪
13,德宏泼水 节,活动形式,采 花
13,德 宏泼水节,活动形式,赕佛
13,德宏泼水节,活动形式,祭祀龙亭
13,德宏 泼水节,活动形式,浴佛仪式
13,德宏泼水节,活动形式,洒水祝福
13,德宏 泼水节,活动形式,歌舞活动
13,德宏泼水节,活动形式,武术表演
13,德宏泼水 节,活动形式,男女 丢包抛绣球
13,德宏泼水节,活动形式,燃放 孔明灯
13,德宏泼水节,活动 形式,飘水灯
13,德宏泼水 节,活动形式,放 高升
13,德宏泼水节,文化 精髓,傣家稻作文明
13,德宏 泼水节,文化精髓,水文化
13,德宏泼水节,研究价值领域,历史学
13,德宏泼 水节,研究价值领域,文化学
13,德宏泼水节,研究价值领域,民族学
13,德宏泼 水节,研究价值领域,民俗学
13,德宏泼水节,研究价值领域,宗教学
13,德宏泼 水节,研究价值领域,伦理学
14,傣医药,核心理论,四塔
14,傣医药,核心理论,五蕴
14,傣医药,核心理论,解药理论
14,四塔,包括元素,土
14,四塔,包括元素,水
14,四 塔,包括元素,火
14,四塔,包括 元素,风
14,五蕴,包括内容,色
14,五蕴,包括内容,识
14,五蕴,包括 内容,受
14,五蕴,包括内容,想
14,五蕴,包括内容,行
14,睡药 疗法,属于,傣医药 传统外治法
14,睡药疗法,用于 治疗,中风
14,睡药疗法,用于治疗,风湿病
14,睡药疗法,用于治疗,高热昏 厥
14,睡 药疗法,分类,冷 睡
14,睡 药疗法,分类,热 睡
14,冷 睡疗法,治疗类型,热病
14,热睡疗法,治疗类型,寒病
14,冷睡疗法,操作步骤,采集傣药鲜品切碎 捣烂
14,冷睡疗法,操作步骤,用干品加入适量的药酒 、旱莲草汁拌匀
14,冷睡疗法,操作步骤,把药平 摊在睡药床上让患者睡 在药上
14,冷睡疗法,操作步骤,将余药均匀地包 敷周身除颜面部外再用 布包裹
14,冷睡疗法,功效,清火解毒
14,冷睡疗法,功效,退热镇惊
14,冷睡疗法,功效,除风止痛
14,冷睡疗法,功效,保护脏器
14,冷睡疗法,适用病症,发热性疾病出现 高热不退
14,冷睡疗法,适用 病症,惊厥抽搐
14,冷睡疗法,适用病症,神昏谵 语
14,冷 睡疗法,适用病症,类风湿病
14,冷睡疗法,适用病症,痛风
14,冷睡疗法,适用病症,周身关节肌肉红肿热 痛
14,热 睡疗法,操作步骤,按病情所需配备相应的傣药鲜 品或干品置于锅内加适量 水和酒炒热后平摊 在睡药床上
14,热睡疗法,操作 步骤,待温度适中让患者 平睡在药上
14,热睡疗法,操作步骤,再取余药 包裹周身除颜面部外用布 包住覆盖被褥
14,热睡疗法,一次治疗时间,约三十分钟左右
14,热睡 疗法,目的,开汗 孔
14,热 睡疗法,目的,通 气血
14,热 睡疗法,目的,除 风毒
14,热睡疗法,目的,止疼痛
14,热睡疗法,适用病症,风湿病
14,热睡疗法,适用病症,中风偏瘫后遗症
14,热睡疗法,适用病症,月子 病
14,热 睡疗法,适用病症,老年性腰腿痛
14,傣族人口,主要分布地区,云南省西双 版纳傣族自治州
14,傣族人口,主要 分布地区,德宏傣族 景颇族自治州
14,傣医四塔、五蕴 学说,与...有密切关系,佛教教义
14,睡药疗法,特点,药物就地取材资源丰富
14,睡药 疗法,特点,使用方便
14,睡药 疗法,特点,具有广泛的应用 推广价值
15,彝医药,分布地区,云南楚雄
15,彝医药,分布地区,四川 凉山
15,彝 医学,理论基础,天地元气 分为清浊二气
15,彝医学,基本物质,金木水火土五行
15,人体,清气运行路径,络胸 、腹、五脏
15,人体,浊气运行 路径,循肌表、腹 、背
15,人体,六气作用,上下 贯通制衡内外邪毒
15,水膏药疗法,治疗类型,清热解毒外治法
15,水膏药疗法,用水来源,井水
15,水膏药 疗法,用水来源,冰 水
15,水 膏药疗法,用水来源,雪水
15,水膏药疗法,储水容器,瓦罐
15,水膏药制作方法,调和介质,井水或冰 水、雪水
15,水膏药制作方法,原料处理方式,切碎捣烂 草药
15,水膏药应用时机,适用病症 阶段,疖肿疮毒尚未 破溃时
15,水膏药敷用方式,外层固定材料,纱布
15,水膏药更换 频率,周期,每天更换 一次
15,常用 草药,包括种类,青 叶胆
15,常用草药,包括种类,地胆
15,常用草药,包括种类,迎春花
15,常用草药,包括种类,野菊花
15,水膏药药效特性,水性特点,透凉
15,水膏药治疗效果,功能,清热
15,水膏药治疗效果,功能,解毒
15,水膏药治疗效果,功能,消肿
15,水膏药治疗效果,功能,镇痛
16,藏族医药,属于,中国民族医药
16,迪庆藏 医骨伤疗法,基于,传统藏医创伤学理论
16,迪庆藏 医骨伤疗法,构成步骤,整复
16,迪庆藏医骨伤疗法,构成步骤,外敷 药加夹板或牵引固定
16,迪庆藏医 骨伤疗法,构成步骤,功能锻炼
16,伤科一号,功效,清热、消肿、止痛、活血化 淤
16,伤科 一号,成分,铁箍 散
16,伤科 一号,成分,冰片
16,伤科一号,成分,红花
16,伤科一号,成分,雪山一枝蒿
16,桑琼丸,药理作用,舒 通筋骨脉络
16,桑琼丸,药理 作用,活血化淤
16,十味乳香 丸,药理作用,舒通筋骨脉络
16,十味乳香丸,药理作用,活血化 淤
16,十八 味杜鹃花丸,药理 作用,舒通筋骨脉络
16,十八味杜鹃 花丸,药理作用,活血化淤
16,伤科二号,功效,接骨、舒筋
16,伤科二号,成分,铁箍散
16,伤科 二号,成分,红花
16,伤科二号,成分,骨碎补
16,伤科 二号,成分,当归
16,伤科二号,成分,榛皮
16,接骨消炎 丸,主要药理作用,促进骨细胞生成
16,接骨消炎丸,主要药理作用,骨 化
16,接 骨消炎丸,主要药理 作用,骨连接
16,接骨消炎丸,主要药理作用,消炎
16,八味 榛皮丸,主要药理 作用,促进骨细胞生成
16,八味榛 皮丸,主要药理作用,骨化
16,八味榛皮丸,主要药理作用,骨 连接
16,八 味榛皮丸,主要药 理作用,消炎
16,达尔强散,主要药理作用,促进骨 细胞生成
16,达尔强散,主要药理 作用,骨化
16,达尔强散,主要药理作用,骨连接
16,达尔强 散,主要药理作用,消炎
16,石榴日轮丸,功效,补肾壮骨、益气养血 强筋骨
16,巴桑母酥油丸,功效,补肾壮骨、益气 养血强筋骨
16,五味甘露药浴,作用,消炎止痛
16,五味甘露药 浴,作用,活血化 淤
16,五 味甘露药浴,作用,强筋壮骨
16,五味甘露药浴,作用,防止肌肉萎缩
16,五味 甘露药浴,作用,防止关节僵硬
16,云南藏族,主要分布地区,迪庆州
16,迪庆藏医药,应用人群,藏族群众
16,迪庆藏 医药,交流民族,纳 西族
16,迪庆藏医药,交流民族,傈僳族
16,迪庆藏医药,交流民族,白族
17,乌铜走 银制作技艺,始创时间,清雍正年间
17,乌铜走银 制作技艺,发源地,云南省石屏县岳家湾 村
17,乌铜 走银制作技艺,创始人,岳永兄弟
17,岳永兄弟,身份,抗金名将岳飞后裔
17,乌铜走银 制作技艺,经营方式,岳氏独家经营
17,乌铜走银,历史 地位,与北京景泰蓝 齐名并称天下铜艺双 绝
17,乌铜 走银,主要原料,铜、金等贵金属
17,乌铜走银,制作步骤,熔化后做成坯
17,乌铜走 银,制作步骤,在 坯上雕刻花纹图案
17,乌铜走银,制作步骤,将熔化的 银金走入细密花纹图案中
17,乌铜 走银,制作步骤,冷却后打磨光滑
17,乌铜走银,制作步骤,用祖传工艺 使底铜变成乌黑色
17,乌铜走银,装饰效果,透出 银金纹图案呈现出黑白黄分明
17,乌铜 走银,别称原因,一般多以镶嵌白银为主
17,乌铜走 银制品,常见类型,墨盒
17,乌铜走银制品,常见 类型,笔筒
17,乌铜走银制品,常见类型,酒壶
17,乌铜 走银制品,常见类型,香炉
17,乌铜走银制品,常见类型,花瓶
17,乌铜走银 制品,特点,造型奇 巧
17,乌 铜走银制品,特点,制作精细
17,乌铜走银制品,属性,艺术精品
17,乌铜走银制品,属性,具有收藏价值
17,乌铜 走银制作技艺,涉及传统 技艺,冶金
17,乌铜走银制作技艺,涉及传统技艺,錾 刻
17,乌 铜走银制作技艺,涉及 传统技艺,绘画
17,乌铜走银制作 技艺,价值,历史价值
17,乌铜 走银制作技艺,价值,科学价值
17,乌铜走银制作技艺,价值,文化艺术价值
17,乌铜走银 制作技艺,传承方式,家庭内部传承为主
17,乌铜走银制作技艺,生产方式,全手工操作
17,乌铜 走银制作技艺,面临问题,年轻人大多不愿学习
17,乌铜走银 制作技艺,面临问题,制品价格高
17,乌铜走银制作技艺,现状,后继乏人
17,乌铜 走银制作技艺,现状,濒危状况
18,宣威火腿,产地,宣威县
18,宣威火腿,别名,云腿
18,宣威火腿,与齐名,浙江金华火腿
18,宣 威火腿,形似,琵琶
18,宣威火腿,特点,大骨小皮薄肉厚
18,宣威 火腿,特点,肥瘦 适中
18,宣威火腿,断面香气,浓郁
18,宣威火腿,色泽,鲜艳
18,宣威火腿,瘦肉颜色,鲜红色或玫瑰色
18,宣 威火腿,肥肉颜色,乳白色
18,宣威火腿,骨头 颜色,桃红
18,宣威火腿,产生时间,明末
18,宣威火腿,成名时间,清雍正五年
18,宣威火腿,获奖事件,广州名特 食品会优质奖章
18,宣威火腿,生产模式,专业化、 规模化、系列化
18,宣威火腿,优点,色香味美
18,宣 威火腿,优点,营养丰富
18,宣威火腿,优点,风味独特
18,宣威火腿,形成 因素,地域地理气候环境
18,《 宣威县志稿》,记载内容,宣腿著名天下 气候使然
18,宣威火腿,秘密在于,独特的自然环境
18,宣威 火腿,秘密在于,气候 条件
18,宣威火腿,秘密在于,制作工艺
19,下关沱 茶,创 制地点,云南省 大理市下关
19,下关 沱茶,原料,云南 大叶种晒青茶
19,下关沱 茶,演变自,明代 团茶
19,下关沱茶,制作 工艺,拼配
19,下关沱茶,制作工艺,筛分
19,下 关沱茶,制作工艺,拣剔
19,下关沱茶,制作工艺,半制品拼配
19,下 关沱茶,制作工艺,称量
19,下关沱茶,制作工艺,蒸揉
19,下关 沱茶,制作工艺,压制成型
19,下关沱茶,制作工艺,干燥
19,下关沱 茶,制作工艺,包装
19,下关沱茶,操作方式,手工操作
19,下关沱茶,蕴含知识,地区特征 技术知识
19,云南下关,所属 行政区划,大理白族自治州 大理市
19,云南地区,气候特点,空气湿润
19,云南地区,气候特点,四季温和
19,云南地区,气候特点,日照时间长
19,云南地区,适宜种植,茶叶
19,沱茶历史,文献记载,《滇略》
19,《滇略 》,作者,谢肇 淛
